kabupaten,province,year,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm_year,precip_hours_day,humidity_pct,sunshine_hrs_day,shortwave_radiation,et0_mm_day,vapour_pressure_def,wind_speed,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_temperature,yield_ton_ha
Bangkalan,Jawa Timur,2023,27.6436,31.16,24.7121,1840.7,6.1315,76.2712,10.3728,21.121,4.63233,1.93715,9.1129,0.270504,0.262082,29.9847,4.9
Bangkalan,Jawa Timur,2024,27.803551912568306,31.43169398907104,24.883879781420767,2251.3,7.3497267759562845,77.92896174863388,9.939290839404979,20.256256830601092,4.444890710382514,1.8612841530054645,8.520765027322405,0.2814918032786885,0.2661256830601093,29.873770491803278,4.782
Bangkalan,Jawa Timur,2025,27.138904109589042,30.747945205479454,24.51890410958904,2433.8,8.191780821917808,81.45479452054795,9.740532336377473,19.68441095890411,4.158931506849315,1.650794520547945,7.865753424657535,0.30953424657534245,0.2910438356164383,28.207397260273975,4.771
Banjarnegara,Jawa Tengah,2018,23.95945205479452,27.635890410958904,21.013150684931507,3873.5,9.605479452054794,83.69589041095891,9.073922321156772,16.87304109589041,3.347945205479452,1.1746027397260275,4.666301369863014,0.4173397260273973,0.4082931506849315,25.45917808219178,5.802
Banjarnegara,Jawa Tengah,2019,24.2795,28.251,21.2732,3200.2,9.9096,83.3863,9.3216,17.4339,3.50745,1.32216,4.5652,0.406805,0.400655,25.8781,5.883
Banjarnegara,Jawa Tengah,2020,24.4391,27.5566,21.9555,5005.7,13.1858,87.235,8.4723,15.8598,3.12579,0.94112,4.2355,0.479497,0.476691,25.2437,5.245
Banjarnegara,Jawa Tengah,2021,24.3153,27.551,21.6485,3635.2,11.8959,85.7863,8.5982,16.3286,3.23088,0.98381,4.5052,0.476893,0.472195,25.0373,5.639
Banjarnegara,Jawa Tengah,2022,24.0414,27.4279,21.2219,4052.8,11.4247,86.7726,8.0545,16.1865,3.17063,0.92786,4.4079,0.480879,0.478858,24.866,5.58
Banjarnegara,Jawa Tengah,2023,24.12,28.1584,20.7455,2468.3,8.9123,83.9479,9.2208,18.0698,3.59266,1.25485,4.766,0.413907,0.405764,25.4058,5.209
Banjarnegara,Jawa Tengah,2024,24.45409836065574,28.383333333333333,21.26502732240437,3457.2,9.814207650273223,85.55191256830601,9.030851115664845,17.520109289617487,3.4887978142076506,1.1789890710382513,4.29672131147541,0.44233333333333336,0.43208196721311476,25.406830601092896,5.69
Banjarnegara,Jawa Tengah,2025,24.07890410958904,28.784383561643832,20.951780821917808,3252.0,10.150684931506849,86.28219178082192,8.664240700152206,17.108465753424657,3.4262739726027394,1.371890410958904,3.976986301369863,0.4775342465753425,0.4763232876712329,24.32712328767123,5.453
Bantul,DI Yogyakarta,2018,25.527945205479455,29.66794520547945,22.144657534246576,1678.8,7.035616438356165,81.57260273972602,9.763213652968037,18.219917808219176,3.863041095890411,1.5848767123287673,8.091506849315069,0.17383287671232875,0.16475616438356167,27.749863013698633,5.904
Bantul,DI Yogyakarta,2019,25.866,30.4263,22.2427,1821.5,6.7781,80.4932,10.1022,19.3474,4.16381,1.80285,8.1611,0.159356,0.128293,28.4778,5.761
Bantul,DI Yogyakarta,2020,25.9604,29.8139,22.8981,2754.5,9.8552,84.306,9.2166,17.5138,3.6679,1.39798,7.6011,0.210615,0.195385,27.5281,5.66
Bantul,DI Yogyakarta,2021,25.74,29.6836,22.6164,2716.5,9.4493,84.3808,9.156,17.6261,3.64534,1.4137,7.134,0.211542,0.201458,27.2214,5.753
Bantul,DI Yogyakarta,2022,25.3101,29.1921,22.2808,3158.6,9.9041,86.2849,8.9346,17.7516,3.55778,1.20729,6.6419,0.257189,0.25334,26.5699,5.428
Bantul,DI Yogyakarta,2023,25.7093,30.3808,22.0112,1775.5,6.7973,81.7671,10.0294,19.9056,4.18101,1.7266,7.711,0.166247,0.150647,27.8589,5.378
Bantul,DI Yogyakarta,2024,26.04562841530055,30.660109289617488,22.404371584699454,2320.7,7.912568306010929,83.5,9.787476487553127,19.354207650273224,4.059344262295082,1.6378142076502733,7.160109289617486,0.1911256830601093,0.17269945355191257,27.907650273224046,5.388
Bantul,DI Yogyakarta,2025,25.565205479452054,30.06931506849315,22.362465753424658,2918.0,9.216438356164383,85.85753424657534,9.283516659056318,18.406164383561645,3.7481369863013696,1.4504657534246574,5.895890410958904,0.24031780821917806,0.2372328767123288,26.54082191780822,5.418
Banyumas,Jawa Tengah,2018,24.973972602739725,28.34109589041096,22.316438356164383,3855.0,10.421917808219177,83.38630136986302,9.219843767123288,16.833424657534245,3.3558356164383563,1.146082191780822,5.142739726027397,0.37078630136986296,0.36967397260273976,25.874794520547944,5.485
Banyumas,Jawa Tengah,2019,25.1786,28.8463,22.3148,3205.0,10.4356,83.126,9.5142,17.5341,3.52696,1.27825,5.134,0.337126,0.3268,26.1822,5.209
Banyumas,Jawa Tengah,2020,25.3855,28.3186,23.0519,5930.0,14.4781,86.8798,8.4894,15.7043,3.11923,0.95571,4.6787,0.405913,0.404836,25.9208,5.549
Banyumas,Jawa Tengah,2021,25.3647,28.4384,22.8855,4468.4,13.2685,85.4822,8.6078,16.2518,3.23597,1.01707,4.757,0.399016,0.394748,25.846,5.543
Banyumas,Jawa Tengah,2022,25.1411,28.2732,22.7148,4949.4,12.0575,86.0603,8.0953,16.2163,3.20597,0.95718,4.6148,0.403734,0.401405,25.7312,5.283
Banyumas,Jawa Tengah,2023,25.1195,28.7047,22.1816,2890.2,9.2849,82.9123,9.382,17.8865,3.57052,1.19436,5.2068,0.347989,0.341351,25.8266,5.459
Banyumas,Jawa Tengah,2024,25.495081967213117,29.15327868852459,22.73087431693989,3746.3,10.237704918032787,84.1639344262295,9.300219892228293,17.718005464480875,3.5538524590163934,1.198032786885246,4.696174863387978,0.36545901639344264,0.3606366120218579,26.15655737704918,5.28
Banyumas,Jawa Tengah,2025,25.416712328767126,29.33150684931507,22.995890410958904,4266.0,11.41095890410959,83.64657534246575,8.691552404870624,16.992794520547946,3.4415616438356165,1.3507397260273972,4.035068493150685,0.3594958904109589,0.35713972602739724,25.977534246575342,5.374
Banyuwangi,Jawa Timur,2018,25.664383561643834,28.847123287671234,23.275616438356167,1577.0,9.33972602739726,82.59452054794521,10.367928569254186,18.952794520547947,3.821123287671233,1.2975890410958903,7.975890410958904,0.22418630136986303,0.21282465753424656,26.384383561643833,6.099
Banyuwangi,Jawa Timur,2019,25.5984,28.9099,23.1263,1609.6,9.5178,83.7863,10.6237,19.8126,3.92879,1.32671,7.6995,0.213162,0.194353,26.3268,5.46
Banyuwangi,Jawa Timur,2020,26.1057,29.3352,23.6735,1783.7,11.0519,84.429,10.2243,18.782,3.77117,1.28462,7.373,0.232541,0.217869,26.462,5.606
Banyuwangi,Jawa Timur,2021,25.9153,29.2277,23.4384,1844.2,10.2603,83.9753,10.0375,18.6854,3.76093,1.28244,7.3578,0.222014,0.2008,26.2548,5.761
Banyuwangi,Jawa Timur,2022,26.0118,29.5351,23.4189,1492.2,8.6767,82.4685,10.034,19.1038,3.90893,1.37318,7.9296,0.204756,0.171833,26.4756,6.022
Banyuwangi,Jawa Timur,2023,25.8096,29.5304,22.9622,1228.4,7.2986,81.3836,10.5147,20.3794,4.14836,1.49233,8.0789,0.172433,0.145575,26.4764,6.059
Banyuwangi,Jawa Timur,2024,26.2551912568306,29.974043715846996,23.50409836065574,1400.8,8.289617486338798,82.51639344262296,10.334977542501518,19.802513661202187,4.046666666666667,1.472814207650273,7.712021857923497,0.17757377049180328,0.15344535519125682,26.987978142076503,5.884
Banyuwangi,Jawa Timur,2025,26.47068493150685,29.952876712328766,23.80958904109589,1474.9,7.663013698630137,79.66027397260274,10.122307610350076,19.291835616438355,4.052602739726027,1.5255342465753425,8.161643835616438,0.16137260273972603,0.13333150684931505,27.67287671232877,5.997
Batang,Jawa Tengah,2018,27.301369863013697,30.839726027397262,23.99342465753425,1334.4,5.33972602739726,74.27123287671233,10.093280981735159,19.98213698630137,4.274054794520548,1.818931506849315,5.739178082191781,0.35641643835616443,0.35285205479452053,29.95205479452055,4.817
Batang,Jawa Tengah,2019,27.3847,30.9444,23.983,1594.9,5.6521,75.3479,10.3718,20.4341,4.32668,1.82132,5.2838,0.360003,0.354595,29.9216,5.015
Batang,Jawa Tengah,2020,27.3891,30.8836,24.2757,2650.3,8.3907,78.7541,9.6744,19.1784,4.04068,1.6521,5.6883,0.382585,0.362068,29.3292,4.94
Batang,Jawa Tengah,2021,27.0447,30.5066,23.9504,2567.2,8.2356,79.4411,9.3794,18.7423,3.93345,1.57567,5.9595,0.389877,0.37463,28.8288,4.996
Batang,Jawa Tengah,2022,26.8858,30.6195,23.6488,2200.4,7.337,79.2959,9.3884,19.135,3.99386,1.60151,5.6189,0.382433,0.328422,29.0252,5.076
Batang,Jawa Tengah,2023,27.5211,31.4849,23.6819,1458.8,4.8411,74.389,10.3405,20.8927,4.46027,1.98573,5.7307,0.333608,0.301981,29.9216,5.483
Batang,Jawa Tengah,2024,27.82896174863388,32.039071038251365,24.069398907103825,1866.5,5.860655737704918,75.59562841530055,10.124762317850639,20.489207650273226,4.41016393442623,2.0522677595628416,5.406284153005465,0.3434398907103825,0.33044535519125684,30.033879781420765,5.479
Batang,Jawa Tengah,2025,26.75095890410959,31.02931506849315,23.261917808219177,2263.5,7.2684931506849315,81.17260273972603,9.646147617960427,19.433945205479453,4.05813698630137,1.7003013698630138,5.041643835616439,0.3841041095890411,0.3892575342465754,28.036164383561644,5.133
Bekasi,Jawa Barat,2018,27.015616438356165,31.448493150684932,23.59068493150685,1845.3,6.6,78.43287671232876,10.035314284627093,18.390849315068493,4.033780821917808,1.989890410958904,7.163013698630137,0.3073698630136986,0.2978821917808219,28.88849315068493,4.963
Bekasi,Jawa Barat,2019,27.4167,32.1885,23.7403,2002.2,7.2082,77.2548,10.3302,19.2121,4.25532,2.21825,6.5685,0.281463,0.253666,29.3986,5.623
Bekasi,Jawa Barat,2020,26.9279,31.1448,23.7814,2933.8,9.6967,82.4809,9.2069,17.1648,3.69604,1.73863,6.7421,0.340262,0.32521,28.0762,4.886
Bekasi,Jawa Barat,2021,26.5679,30.7556,23.423,2781.3,9.4027,83.2986,9.0181,17.2679,3.65008,1.63701,6.4841,0.348518,0.335619,27.68,5.856
Bekasi,Jawa Barat,2022,26.3849,30.926,23.1792,2861.0,7.9589,83.7452,9.2446,18.2711,3.81989,1.6257,6.4605,0.359277,0.344027,27.6334,5.391
Bekasi,Jawa Barat,2023,27.3389,32.5077,23.5964,2152.7,6.4904,77.9178,10.0982,19.5288,4.31751,2.29411,6.9523,0.284236,0.268871,29.0005,5.328
Bekasi,Jawa Barat,2024,27.482513661202187,32.3844262295082,24.018306010928963,2735.8,7.434426229508197,79.99180327868852,9.791387393746204,19.116475409836067,4.153469945355192,2.0865573770491803,6.600819672131148,0.299448087431694,0.281775956284153,28.96639344262295,4.946
Bekasi,Jawa Barat,2025,27.12164383561644,31.570410958904112,24.053972602739726,2860.6,7.983561643835617,80.98082191780821,9.337978896499237,18.521260273972604,3.9705205479452057,1.8848219178082193,6.3221917808219175,0.24738630136986303,0.259772602739726,28.516712328767124,5.128
Blitar,Jawa Timur,2018,25.020273972602737,29.225753424657533,21.811780821917807,1834.2,7.010958904109589,82.01917808219179,9.652922503805174,18.12991780821918,3.828849315068493,1.5472876712328767,9.743561643835617,0.18115068493150685,0.1759917808219178,27.083561643835615,6.042
Blitar,Jawa Timur,2019,25.3093,30.0137,21.8145,1744.4,6.5699,81.2,10.028,19.2657,4.12805,1.74597,9.7715,0.162425,0.144551,27.7671,6.19
Blitar,Jawa Timur,2020,25.2617,29.1317,22.3413,2728.2,9.0847,85.4973,9.4013,17.7643,3.61432,1.275,8.8702,0.225003,0.21527,26.5044,5.657
Blitar,Jawa Timur,2021,25.1025,29.0523,22.183,2944.2,9.0247,85.0849,8.9919,17.4135,3.55562,1.30707,8.6186,0.221778,0.206792,26.3052,6.402
Blitar,Jawa Timur,2022,24.883,28.8145,22.0184,3161.2,8.8932,85.7671,8.8173,17.7599,3.55674,1.18866,8.2751,0.248181,0.239071,26.0282,6.312
Blitar,Jawa Timur,2023,25.2285,29.7751,21.7967,1562.5,6.3014,81.8356,9.9249,19.8104,4.14321,1.63326,9.8041,0.166022,0.151501,27.1115,6.61
Blitar,Jawa Timur,2024,25.659016393442624,30.159562841530054,22.388524590163936,2240.7,7.248633879781421,82.9672131147541,9.593988395567699,19.1124043715847,4.026256830601093,1.592568306010929,9.230601092896174,0.18209562841530055,0.1660327868852459,27.29590163934426,5.559
Blitar,Jawa Timur,2025,25.124931506849315,29.609041095890408,22.21123287671233,2828.3,8.087671232876712,84.96438356164384,9.181393105022833,18.261397260273974,3.721123287671233,1.4608767123287671,7.7336986301369866,0.24995616438356164,0.25480821917808216,25.768767123287674,6.465
Blora,Jawa Tengah,2018,26.762465753424657,32.01534246575343,23.04931506849315,1691.6,5.6657534246575345,74.06301369863014,9.816035487062406,19.10427397260274,4.382328767123288,2.475232876712329,8.172602739726027,0.375627397260274,0.3711616438356164,29.072054794520547,5.86
Blora,Jawa Tengah,2019,26.9773,32.5038,23.0282,2046.5,6.3452,73.7479,10.1181,19.824,4.59362,2.61773,8.0934,0.36174,0.32937,29.3603,5.309
Blora,Jawa Tengah,2020,26.6137,31.288,23.3049,2601.7,8.3962,80.1503,9.4489,18.1924,4.00478,1.99249,7.5541,0.4135,0.40465,27.9967,5.121
Blora,Jawa Tengah,2021,26.3551,31.2463,23.023,2616.1,8.0877,80.4411,9.1443,18.1033,3.95137,2.02247,7.6479,0.41309,0.394581,27.7142,4.89
Blora,Jawa Tengah,2022,25.7704,30.5693,22.6027,2818.6,7.4521,83.7123,8.9336,18.5339,3.85189,1.68049,7.0611,0.438715,0.433197,26.9488,4.972
Blora,Jawa Tengah,2023,26.6137,31.9458,22.7156,1842.7,5.2849,76.1425,9.9544,20.4207,4.51438,2.34101,7.9178,0.373723,0.373899,28.283,4.787
Blora,Jawa Tengah,2024,26.74398907103825,31.79289617486339,23.163661202185793,2495.8,6.551912568306011,78.86065573770492,9.595679485428052,19.75775956284153,4.30792349726776,2.0891256830601095,7.483606557377049,0.3991120218579235,0.3935601092896175,28.225409836065573,5.002
Blora,Jawa Tengah,2025,25.997808219178083,30.306027397260277,22.965753424657535,2735.7,7.567123287671233,83.35068493150685,9.323377488584475,19.147835616438357,3.9736712328767125,1.5597260273972602,7.578630136986301,0.39851506849315066,0.402827397260274,27.156986301369862,5.057
Bogor,Jawa Barat,2018,25.869315068493147,30.343835616438355,22.472328767123287,1812.3,6.712328767123288,77.51780821917808,9.654472617960426,17.941972602739725,3.88986301369863,1.887205479452055,6.263287671232876,0.4114027397260274,0.39234794520547944,27.635890410958904,5.659
Bogor,Jawa Barat,2019,26.1663,30.9825,22.5153,2142.6,7.211,77.2274,9.9458,18.8285,4.06715,2.05386,5.6759,0.399633,0.389132,27.8581,5.599
Bogor,Jawa Barat,2020,25.7205,29.668,22.6858,3124.7,9.4754,82.3525,8.7637,16.7725,3.52399,1.48459,5.4495,0.437839,0.425148,26.6702,5.368
Bogor,Jawa Barat,2021,25.3329,29.1348,22.3419,3206.3,9.0959,83.2466,8.6838,16.9193,3.49422,1.32277,5.3326,0.457405,0.450025,26.1764,4.966
Bogor,Jawa Barat,2022,25.2786,29.3238,22.231,2814.8,7.5151,82.6795,8.7634,17.5517,3.62975,1.35482,5.6605,0.449948,0.438088,26.2888,5.355
Bogor,Jawa Barat,2023,26.2184,31.2312,22.4197,1882.6,6.1342,77.1753,9.7239,19.2233,4.13973,2.10885,5.7825,0.383395,0.3698,27.7923,5.554
Bogor,Jawa Barat,2024,26.41584699453552,31.257103825136614,22.83497267759563,2375.8,6.73224043715847,79.73497267759562,9.520009980267153,18.80065573770492,4.014562841530054,1.93551912568306,5.289071038251366,0.40538797814207655,0.3900054644808743,27.888524590163936,5.973
Bogor,Jawa Barat,2025,25.94630136986301,30.675890410958907,22.518082191780824,2727.1,7.498630136986302,81.07945205479452,9.09256393455099,18.039506849315067,3.803698630136986,1.7857260273972602,5.494520547945205,0.34880547945205476,0.3765671232876712,27.238630136986302,5.815
Bojonegoro,Jawa Timur,2018,27.486575342465756,32.72575342465753,23.714520547945202,1581.6,5.073972602739726,72.65753424657534,9.896563401826485,19.394657534246576,4.589561643835617,2.5995342465753426,7.981917808219178,0.2601232876712329,0.2558328767123288,29.855342465753427,5.584
Bojonegoro,Jawa Timur,2019,27.6726,33.1351,23.6756,1702.8,5.6384,72.2658,10.1375,19.9172,4.75471,2.72844,7.8775,0.255137,0.241945,30.0211,5.371
Bojonegoro,Jawa Timur,2020,27.3743,32.0883,23.9593,2521.1,8.265,78.1038,9.4065,18.241,4.15926,2.14117,7.2128,0.302503,0.292011,28.8342,5.374
Bojonegoro,Jawa Timur,2021,27.1373,32.1419,23.6995,2336.0,7.7014,78.3863,9.2953,18.4132,4.14507,2.20145,7.2682,0.296274,0.281647,28.6134,5.007
Bojonegoro,Jawa Timur,2022,26.5334,31.3825,23.3318,2979.8,7.4356,81.6877,8.883,18.6058,3.9883,1.842,6.6249,0.333123,0.318967,27.829,5.269
Bojonegoro,Jawa Timur,2023,27.4745,32.9797,23.5129,1721.5,4.8301,73.8384,9.9718,20.4746,4.71764,2.59992,7.84,0.259055,0.252745,29.2956,5.32
Bojonegoro,Jawa Timur,2024,27.486612021857926,32.68415300546448,23.852185792349726,2462.8,6.344262295081967,76.90983606557377,9.678253362173649,19.926530054644807,4.477349726775956,2.2826775956284155,7.08879781420765,0.2846666666666667,0.27180054644808743,29.123224043715847,5.415
Bojonegoro,Jawa Timur,2025,26.450410958904108,30.984657534246573,23.40054794520548,2782.3,7.175342465753425,83.0986301369863,9.294347732115677,19.271835616438356,4.0164109589041095,1.6347123287671232,6.061643835616438,0.31954520547945203,0.3331315068493151,27.394794520547947,5.472
Bondowoso,Jawa Timur,2018,25.366027397260275,30.224109589041095,21.863013698630137,1469.2,5.0,75.45753424657535,10.114178812785388,19.370849315068494,4.327013698630137,2.058219178082192,10.476986301369863,0.3302082191780822,0.3217205479452055,28.313150684931504,5.097
Bondowoso,Jawa Timur,2019,25.6205,30.7219,21.8605,1568.5,5.2329,74.6493,10.3804,20.0329,4.48567,2.2049,9.2797,0.331334,0.300638,28.569,4.702
Bondowoso,Jawa Timur,2020,25.5921,30.0418,22.3992,1825.5,6.9481,78.2049,9.9465,18.8348,4.10202,1.81803,8.7735,0.361227,0.351511,27.794,4.815
Bondowoso,Jawa Timur,2021,25.2025,29.697,22.0351,2080.8,6.7452,79.4164,9.6849,18.7036,3.98408,1.73268,9.3271,0.370389,0.362266,27.1485,5.016
Bondowoso,Jawa Timur,2022,24.8789,29.2077,21.7827,1912.1,6.4767,81.5534,9.5953,18.9942,3.91129,1.52159,8.7548,0.38197,0.363364,26.7019,4.948
Bondowoso,Jawa Timur,2023,25.4877,30.6071,21.7252,1361.3,4.3479,75.8685,10.3407,20.7421,4.50397,2.10773,9.8537,0.348808,0.346197,27.714,4.92
Bondowoso,Jawa Timur,2024,25.971584699453555,31.13306010928962,22.33497267759563,1541.2,5.092896174863388,76.77049180327869,10.137103210382515,19.99642076502732,4.404508196721311,2.1413387978142078,8.947540983606558,0.34780601092896174,0.3205,28.241803278688526,5.127
Bondowoso,Jawa Timur,2025,25.174520547945207,29.951232876712332,21.86958904109589,1271.4,5.123287671232877,79.9041095890411,9.906897808219178,19.481369863013697,4.074876712328767,1.7706575342465753,7.767397260273972,0.34959178082191783,0.31152876712328764,26.953698630136987,4.969
Boyolali,Jawa Tengah,2018,24.45260273972603,29.09945205479452,21.35972602739726,2750.3,6.424657534246576,74.93150684931507,9.85235117960426,19.65117808219178,4.422821917808219,1.8976712328767122,10.833424657534247,0.2604904109589041,0.25476164383561645,26.12027397260274,5.605
Boyolali,Jawa Tengah,2019,24.8299,29.8742,21.503,2869.8,6.5425,73.5123,10.0798,20.595,4.6874,2.12192,10.5005,0.254685,0.244526,26.5956,5.774
Boyolali,Jawa Tengah,2020,24.4781,28.4888,21.7699,4137.9,9.2923,80.582,9.3133,18.6718,3.95833,1.48098,8.8637,0.314833,0.303683,25.4713,4.72
Boyolali,Jawa Tengah,2021,24.2079,28.2392,21.4605,4382.7,9.3397,81.4521,9.1038,18.5014,3.87441,1.43797,8.7014,0.31654,0.308047,25.1164,5.617
Boyolali,Jawa Tengah,2022,23.9397,27.9597,21.343,4238.1,8.5096,82.611,8.8018,18.6313,3.80142,1.3126,9.3268,0.334112,0.32246,24.8444,5.735
Boyolali,Jawa Tengah,2023,24.7822,29.4759,21.6263,3279.1,5.9781,74.4411,9.8538,20.4497,4.64915,1.92762,11.3332,0.25006,0.250501,26.6318,5.561
Boyolali,Jawa Tengah,2024,24.979508196721312,29.381420765027322,22.059016393442622,3520.9,7.193989071038251,77.5846994535519,9.680642251062539,20.07953551912568,4.41672131147541,1.7098907103825138,9.859016393442623,0.27182240437158467,0.26196448087431695,26.65737704918033,5.57
Boyolali,Jawa Tengah,2025,24.27123287671233,28.54054794520548,21.610958904109587,4557.2,9.361643835616439,81.44931506849315,9.151257633181126,18.61676712328767,3.8600000000000003,1.4564383561643837,8.004657534246574,0.3373890410958904,0.33514246575342466,24.872054794520547,5.512
Brebes,Jawa Tengah,2018,26.976986301369863,30.775342465753425,24.270958904109587,1407.6,4.953424657534247,77.27671232876712,10.274026605783867,19.520301369863013,4.350301369863013,1.8826301369863012,8.707945205479453,0.2907041095890411,0.292172602739726,28.67616438356164,5.303
Brebes,Jawa Tengah,2019,27.2077,31.1321,24.3644,1649.6,5.9918,76.7041,10.3869,19.7984,4.41989,1.98241,8.1948,0.276745,0.267608,28.9132,5.431
Brebes,Jawa Tengah,2020,27.1052,30.4842,24.6525,2565.0,8.6202,81.7514,9.6214,18.2881,3.94505,1.59033,7.7126,0.316213,0.303025,28.218,6.091
Brebes,Jawa Tengah,2021,26.9055,30.311,24.4386,2560.0,8.2164,81.9068,9.5005,18.3975,3.93285,1.58211,8.1452,0.320756,0.305559,27.9348,5.458
Brebes,Jawa Tengah,2022,26.7266,30.2622,24.2907,2132.2,6.9945,82.5288,9.4515,18.9738,3.99436,1.52008,7.8874,0.342027,0.332175,27.7068,5.525
Brebes,Jawa Tengah,2023,27.5197,31.9816,24.2521,1330.8,4.9726,74.7342,10.3333,20.4216,4.65997,2.26674,8.7033,0.251737,0.238156,29.2485,5.384
Brebes,Jawa Tengah,2024,27.628415300546447,32.001639344262294,24.450000000000003,1959.0,6.3224043715847,77.3688524590164,10.108596455676988,20.084262295081967,4.489289617486339,2.0833333333333335,7.846448087431694,0.263,0.24994808743169397,29.22486338797814,5.501
Brebes,Jawa Tengah,2025,27.300273972602742,31.41260273972603,24.343013698630138,2143.4,7.03013698630137,78.47945205479452,9.66280598173516,19.25158904109589,4.217671232876713,1.9198082191780823,7.527123287671233,0.2569041095890411,0.2584164383561644,28.86027397260274,5.171
